,Unnamed: 0,Restaurant Name,Number of Stars,City,Country,Price,Cuisine_type_1,Cuisine_type_1.1
1405,1405,Le Moulin de la Gorce,1,La Roche-l'Abeille, France,$$$$,Classic Cuisine,
1406,1406,Le Refuge des Gourmets,1,Machilly, France,$$$,Modern Cuisine,
1407,1407,Domaine du Colombier,1,Malataverne, France,$$$$,, Creative
1408,1408,Côté Cuisine,1,Carnac, France,$$,Modern Cuisine,
1409,1409,Azimut,1,Courchevel, France,$$$,, Modern Cuisine
1410,1410,Le Grill,1,Monaco, France,$$$$,Classic Cuisine,
1411,1411,Pastis,1,Montpellier, France,$$,Modern Cuisine,
1412,1412,Le Manoir du Lys,1,Bagnoles-de-l'Orne, France,$$$$,Modern Cuisine,
1413,1413,L'Observatoire du Gabriel,1,Bordeaux, France,$$$$,, Modern Cuisine
1414,1414,Le Gavrinis,1,Baden, France,$$,Modern Cuisine,
1415,1415,Le Grand Contrôle,1,Versailles, France,$$$$,, Classic Cuisine
1416,1416,Hélène Darroze à Villa La Coste,1,Le Puy-Sainte-Réparade, France,$$$$,Modern Cuisine,
1417,1417,Jardin des Sens,1,Montpellier, France,$$$$,Modern Cuisine,
1418,1418,La Chabotterie,1,Montréverd, France,$$$,Modern Cuisine,
1419,1419,Georges Blanc,3,Vonnas, France,$$$$,Classic Cuisine,
1420,1420,Régis et Jacques Marcon,3,Saint-Bonnet-le-Froid, France,$$$$,Creative,
1421,1421,AM par Alexandre Mazzia,3,Marseille, France,$$$$,Creative,
1422,1422,Mirazur,3,Menton, France,$$$$,Creative,
1423,1423,Auberge du Vieux Puits,3,Fontjoncouse, France,$$$$,Creative,
1424,1424,Le Louis XV - Alain Ducasse à l'Hôtel de Paris,3,Monaco, France,$$$$,, Mediterranean Cuisine
1425,1425,Le Pressoir d'Argent - Gordon Ramsay,2,Bordeaux, France,$$$$,Modern Cuisine,
1426,1426,Château de Beaulieu - Christophe Dufossé,1,Busnes, France,$$$$,Modern Cuisine,
1427,1427,L'Auberge des Glazicks,2,Plomodiern, France,$$$$,Creative,
1428,1428,La Table Lionel Giraud,2,Narbonne, France,$$$,Creative,
1429,1429,JY'S,2,Colmar, France,$$$$,Creative,
1430,1430,Auberge du Cheval Blanc,2,Lembach, France,$$$$,Creative,
1431,1431,Auberge de l'Ill,2,Illhaeusern, France,$$$$,Classic Cuisine,
